epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1311.93,0.76033,0.44029,0.87411,0.89019,0.83955,0.88937,0.76242,0.78952,0.42176,0.79803,0.0002377,0.0002377,0.0002377
79,1328.22,0.77882,0.45677,0.87471,0.87406,0.8323,0.88782,0.75495,0.79355,0.42317,0.80396,0.0002278,0.0002278,0.0002278
80,1344.56,0.76541,0.44615,0.87643,0.89391,0.83888,0.89312,0.759,0.78589,0.41745,0.79884,0.0002179,0.0002179,0.0002179
81,1360.85,0.74733,0.43911,0.87294,0.91255,0.83032,0.88708,0.76094,0.79667,0.42176,0.80302,0.000208,0.000208,0.000208
82,1377.15,0.7516,0.42887,0.87122,0.90554,0.8297,0.88666,0.76192,0.78183,0.41311,0.79998,0.0001981,0.0001981,0.0001981
83,1393.45,0.78009,0.44646,0.87244,0.90783,0.85816,0.89353,0.77137,0.78369,0.40373,0.80277,0.0001882,0.0001882,0.0001882
84,1409.81,0.75829,0.43394,0.87295,0.87085,0.86998,0.8908,0.76952,0.77907,0.41395,0.79865,0.0001783,0.0001783,0.0001783
85,1426.13,0.74829,0.43019,0.86888,0.88986,0.8746,0.90855,0.77771,0.77159,0.39437,0.79445,0.0001684,0.0001684,0.0001684
86,1442.61,0.75919,0.43355,0.87098,0.90392,0.85572,0.90209,0.77476,0.77667,0.39686,0.79267,0.0001585,0.0001585,0.0001585
87,1458.92,0.76071,0.42848,0.86447,0.91183,0.846,0.90738,0.78136,0.77404,0.39586,0.79337,0.0001486,0.0001486,0.0001486
88,1475.25,0.74381,0.42581,0.86719,0.87818,0.86798,0.8982,0.77346,0.76945,0.3996,0.79386,0.0001387,0.0001387,0.0001387
89,1491.53,0.75458,0.4327,0.87497,0.90378,0.86707,0.90574,0.77988,0.77105,0.38885,0.79481,0.0001288,0.0001288,0.0001288
90,1507.9,0.74424,0.42027,0.86592,0.89852,0.87266,0.90385,0.778,0.76439,0.3891,0.79144,0.0001189,0.0001189,0.0001189
91,1524.31,0.78549,0.40207,0.84356,0.91528,0.87475,0.90784,0.77662,0.78192,0.39938,0.7978,0.000109,0.000109,0.000109
92,1540.42,0.7683,0.38665,0.84077,0.89756,0.8753,0.90549,0.77648,0.77638,0.39623,0.79269,9.91e-05,9.91e-05,9.91e-05
93,1556.46,0.76351,0.38033,0.83927,0.91255,0.86992,0.90983,0.78244,0.76592,0.3875,0.78963,8.92e-05,8.92e-05,8.92e-05
94,1572.52,0.76108,0.37887,0.83671,0.90594,0.88203,0.91501,0.78641,0.76482,0.38139,0.78782,7.93e-05,7.93e-05,7.93e-05
95,1588.62,0.75358,0.37292,0.83483,0.92272,0.87573,0.91671,0.78865,0.75908,0.37869,0.78725,6.94e-05,6.94e-05,6.94e-05
96,1604.78,0.75028,0.36587,0.83549,0.91066,0.8733,0.91104,0.78558,0.76652,0.38215,0.78765,5.95e-05,5.95e-05,5.95e-05
97,1620.93,0.74709,0.36232,0.83074,0.9164,0.8728,0.91522,0.78775,0.7624,0.38045,0.78697,4.96e-05,4.96e-05,4.96e-05
98,1637.06,0.7465,0.36766,0.83356,0.89045,0.89278,0.91524,0.78675,0.75688,0.38051,0.78298,3.97e-05,3.97e-05,3.97e-05
99,1653.1,0.74679,0.36596,0.83519,0.9125,0.88729,0.91581,0.78825,0.75626,0.3774,0.78375,2.98e-05,2.98e-05,2.98e-05
100,1669.11,0.73878,0.36207,0.83438,0.92846,0.87335,0.91452,0.78774,0.76167,0.37994,0.78659,1.99e-05,1.99e-05,1.99e-05
